LIVER
KILKA
HOT_TEA
SARDINES
LAMB
WHOLE_MILK
YOGURT
SHEEP_CHEESE
MELTED_CHEESE
COTTAGE_CHEESE
KURUT
SMOKED_CHEESE
SWEET_RICOTTA
SALTY_RICOTTA
MUTTON
BUTTER
WHIPPED_CREAM
MELON
