id	country	village_name	cl	X1	X2	X3	X4	X5
595085	AZERBAIJAN	Ismailly	2	0.068615934	0.866612699	8.23E-06	0.064751595	1.15E-05
595087	AZERBAIJAN	Ismailly	5	0.123683338	0.006006179	0.001318896	0.000241474	0.868750113
595088	AZERBAIJAN	Ismailly	4	2.30E-05	0.000351516	6.06E-11	0.999625445	2.10E-10
595091	ARMENIA	Chambarak	2	4.61E-06	0.997732213	3.30E-07	0.000112988	0.002149864
595092	ARMENIA	Chambarak	5	6.80E-05	0.026735506	0.000326241	4.77E-09	0.972870211
595093	ARMENIA	Chambarak	5	8.44E-05	0.008886781	4.83E-06	9.07E-08	0.99102391
595094	ARMENIA	Chambarak	2	5.79E-06	0.879472951	0.054164224	1.51E-08	0.066357023
595095	ARMENIA	Chambarak	2	8.12E-08	0.999997145	1.19E-07	1.35E-08	2.64E-06
595096	ARMENIA	Chambarak	2	1.56E-06	0.998944632	4.78E-06	1.09E-08	0.001049017
595098	ARMENIA	Chambarak	2	0.003322334	0.99207464	6.35E-06	1.88E-05	0.004577908
595100	ARMENIA	Chambarak	2	4.28E-07	0.998162282	9.68E-05	1.79E-08	0.001740438
595102	ARMENIA	Chambarak	5	7.33E-08	6.89E-06	9.78E-06	5.19E-12	0.999983262
595103	ARMENIA	Chambarak	2	1.66E-06	0.999823943	0.000171586	4.86E-07	2.33E-06
595104	AZERBAIJAN	Ismailly	3	0.046383731	0.301760583	0.621363054	0.001027975	0.029464657
595105	AZERBAIJAN	Ismailly	4	0.002899561	0.062257702	0.000482581	0.934346929	1.32E-05
595106	AZERBAIJAN	Ismailly	2	0.000628485	0.978859781	0.001350821	0.019126606	3.43E-05
595107	AZERBAIJAN	Ismailly	4	0.001721822	6.67E-07	1.42E-12	0.998277511	5.49E-11
595109	AZERBAIJAN		4	0.001804075	0.004122573	7.93E-09	0.994073285	6.00E-08
595110	AZERBAIJAN	Ismailly	4	0.035885709	0.196827164	3.77E-06	0.766335884	0.000947476
595111	AZERBAIJAN	Ismailly	1	0.998185982	0.000139952	6.41E-06	0.001662689	4.97E-06
595112	AZERBAIJAN	Ismailly	1	0.998366329	0.000122037	1.85E-06	0.000903338	0.000606449
595113	AZERBAIJAN	Ismailly	4	0.026997575	0.001658653	2.34E-11	0.971343529	2.43E-07
595114	AZERBAIJAN	Ismailly	1	0.660443379	0.010513729	9.13E-07	0.328778086	0.000263892
595115	AZERBAIJAN	Ismailly	4	0.001963968	0.00013818	1.13E-07	0.997895382	2.36E-06
595116	AZERBAIJAN	Ismailly	2	6.20E-05	0.758237763	0.000249673	0.241450322	2.48E-07
595117	AZERBAIJAN	Ismailly	4	0.002454694	1.51E-06	4.14E-08	0.99754309	6.65E-07
595118	AZERBAIJAN	Ismailly	4	5.66E-07	0.032276311	1.66E-10	0.967723122	1.18E-10
595119	AZERBAIJAN	Sis	2	2.36E-05	0.996151638	1.37E-06	0.003460586	0.000362776
595123	AZERBAIJAN	Sis	2	0.025836566	0.70530218	0.000516363	0.268343823	1.07E-06
595124	AZERBAIJAN	Sis	1	0.99539317	0.000432974	9.19E-05	0.001778802	0.002303183
595126	AZERBAIJAN	Sis	1	0.934459589	0.008003396	1.27E-05	0.05737221	0.000152125
595127	AZERBAIJAN	Sis	2	6.29E-05	0.99133703	0.000100587	1.95E-06	0.008497489
595129	AZERBAIJAN	Sis	1	0.970195531	0.000464268	0.000435793	0.012303411	0.016600997
595134	AZERBAIJAN	Sis	3	0.032472337	0.001816308	0.954832946	0.010868619	9.79E-06
595135	AZERBAIJAN	Sis	4	0.013612885	1.18E-07	6.79E-06	0.986380185	2.48E-08
595136	AZERBAIJAN	Sis	1	0.995160848	0.000497045	3.99E-05	0.002772978	0.001529234
595137	AZERBAIJAN	Sis	4	0.002815862	0.000855245	9.18E-09	0.996320307	8.58E-06
595138	AZERBAIJAN	Sis	2	0.001428652	0.990366344	0.000796654	0.000444668	0.006963682
595139	AZERBAIJAN	Sis	4	2.64E-05	0.000194901	1.32E-06	0.999777423	1.13E-09
595141	AZERBAIJAN	Sis	1	0.968787005	0.000158518	0.021736625	0.009283226	3.46E-05
595144	AZERBAIJAN	Sis	2	1.19E-05	0.988766904	1.64E-05	0.011201493	3.32E-06
595145	AZERBAIJAN	Sis	1	0.982519966	0.001976776	1.08E-05	0.000802079	0.014690425
595147	AZERBAIJAN	Sis	2	3.96E-05	0.832600118	2.71E-05	0.167269439	6.38E-05
595148	AZERBAIJAN	Sis	3	1.05E-05	1.90E-06	0.998953733	3.50E-12	0.001033835
595149	AZERBAIJAN	Sis	4	0.002435253	0.010338438	6.73E-06	0.987219402	1.72E-07
595152	AZERBAIJAN	Sis	4	1.48E-06	0.000765339	1.09E-08	0.999233168	2.36E-11
595153	AZERBAIJAN	Sis	4	1.15E-05	0.001302409	9.98E-10	0.998686117	2.87E-09
595154	AZERBAIJAN	Sis	4	0.004115039	0.00893279	5.72E-05	0.986874012	2.10E-05
595155	AZERBAIJAN	Sis	1	0.999771059	2.51E-07	1.46E-07	2.28E-05	0.000205735
595157	AZERBAIJAN	Sis	1	0.988852429	0.000679523	5.56E-05	0.008971356	0.001441059
595159	AZERBAIJAN	Sis	4	7.68E-07	8.15E-06	1.40E-11	0.999991087	3.28E-12
595160	AZERBAIJAN	Sis	4	2.44E-07	1.19E-05	2.38E-12	0.999987817	1.19E-10
596635	TAJIKISTAN	Shing	4	3.61E-06	5.80E-10	2.54E-12	0.999996393	1.92E-13
596636	TAJIKISTAN	Shing	4	2.44E-05	2.25E-07	1.87E-12	0.999975406	4.60E-12
596638	TAJIKISTAN	Shing	4	1.38E-05	1.03E-06	3.23E-13	0.999985172	7.44E-11
596639	TAJIKISTAN	Shing	4	1.97E-06	6.84E-09	6.73E-14	0.999998021	8.88E-15
596640	TAJIKISTAN	Shing	4	0.163126879	0.050216884	0.006658876	0.779990661	6.70E-06
596643	TAJIKISTAN	Shing	4	4.21E-06	1.90E-06	9.77E-12	0.999993887	8.83E-11
596644	TAJIKISTAN	Shing	2	0.000465849	0.997804726	9.09E-05	0.001637298	1.26E-06
596645	TAJIKISTAN	Shing	1	0.997477851	4.42E-06	2.66E-07	0.002231056	0.000286408
596647	TAJIKISTAN	Shing	4	9.21E-05	6.17E-10	2.66E-10	0.999907939	2.53E-12
596648	TAJIKISTAN	Shing	4	7.57E-09	2.90E-07	1.27E-08	0.999999689	4.23E-11
596650	TAJIKISTAN	Zeravshan	4	0.000333494	1.64E-06	5.48E-14	0.999664863	3.19E-12
596651	TAJIKISTAN	Shing	4	0.104665389	7.91E-05	1.41E-07	0.895253263	2.15E-06
596653	TAJIKISTAN	Shing	4	0.000137142	1.00E-07	4.43E-15	0.999862757	1.76E-11
596655	TAJIKISTAN	Shing	4	1.51E-07	7.97E-07	2.27E-13	0.999999051	4.02E-13
596657	TAJIKISTAN	Shing	4	1.04E-06	1.91E-05	1.79E-11	0.999979832	3.28E-10
596661	TAJIKISTAN	Shing	4	0.000119399	2.31E-07	6.73E-10	0.999880367	2.61E-09
596662	TAJIKISTAN	Zeravshan	1	0.757018605	2.31E-05	1.41E-09	0.242958222	7.39E-08
596666	TAJIKISTAN	Zeravshan	1	0.993381754	4.90E-06	2.21E-05	0.006589948	1.29E-06
596667	TAJIKISTAN	Khorog	1	0.991301231	0.001517029	4.21E-06	0.007176568	9.59E-07
596671	TAJIKISTAN	Zeravshan	4	0.001873634	0.000995579	1.61E-10	0.997130786	1.60E-09
596672	TAJIKISTAN	Zeravshan	4	9.21E-06	6.28E-07	9.04E-12	0.999990166	4.19E-12
596675	TAJIKISTAN	Zeravshan	4	0.145744161	2.68E-05	6.25E-05	0.854074917	9.17E-05
596676	TAJIKISTAN	Zeravshan	4	0.031307662	1.55E-06	1.60E-10	0.968690785	3.35E-11
596677	TAJIKISTAN	Zeravshan	4	0.047582998	5.44E-07	4.17E-11	0.952416445	1.26E-08
596680	TAJIKISTAN	Kalaikhum	4	0.001378701	5.11E-06	1.05E-09	0.998616187	1.70E-09
596681	TAJIKISTAN	Kalaikhum	4	5.95E-05	3.32E-05	2.83E-10	0.999907262	3.55E-10
596682	TAJIKISTAN	Kalaikhum	4	0.018041465	0.000517237	8.06E-09	0.981441285	4.87E-09
596683	TAJIKISTAN	Kalaikhum	4	1.36E-08	2.69E-07	8.65E-14	0.999999718	9.30E-15
596684	TAJIKISTAN	Kalaikhum	1	0.999911394	6.63E-07	6.68E-07	8.21E-05	5.19E-06
596685	TAJIKISTAN	Kalaikhum	4	0.00142133	2.01E-07	3.80E-10	0.998578432	3.71E-08
596687	TAJIKISTAN	Kalaikhum	1	0.779960359	1.15E-06	2.77E-09	0.22003842	7.23E-08
596688	TAJIKISTAN	Kalaikhum	4	0.053343062	3.70E-05	5.95E-07	0.946619313	8.52E-09
596689	TAJIKISTAN	Kalaikhum	4	0.000274894	2.55E-07	2.28E-12	0.999724851	1.57E-10
596690	TAJIKISTAN	Kalaikhum	4	0.000751455	4.67E-05	1.01E-09	0.999201837	2.16E-10
596692	TAJIKISTAN	Kalaikhum	4	1.48E-07	3.60E-07	6.96E-15	0.999999492	4.86E-14
596693	TAJIKISTAN	Kalaikhum	4	0.001187103	1.63E-07	2.96E-11	0.998812734	2.03E-10
596694	TAJIKISTAN	Kalaikhum	4	0.015370189	0.000681337	9.03E-07	0.98394718	3.91E-07
596695	TAJIKISTAN	Kalaikhum	4	0.001101518	1.20E-08	8.51E-11	0.99889847	2.12E-12
596696	TAJIKISTAN	Kalaikhum	4	9.98E-06	8.38E-08	6.83E-11	0.999989932	8.29E-12
596697	TAJIKISTAN	Kalaikhum	4	0.015060581	1.50E-05	4.74E-07	0.984904856	1.91E-05
596698	TAJIKISTAN	Kalaikhum	1	0.984304441	7.83E-05	2.16E-05	0.015573656	2.21E-05
596699	TAJIKISTAN	Kalaikhum	4	4.45E-07	2.58E-09	1.30E-15	0.999999553	3.79E-13
596700	TAJIKISTAN	Khorog	1	0.99965919	3.99E-06	0.00024509	3.24E-06	8.85E-05
596702	TAJIKISTAN	Khorog	4	1.07E-05	8.99E-05	4.36E-08	0.999899371	1.32E-10
596703	TAJIKISTAN	Khorog	4	0.143431129	0.008162958	2.28E-09	0.848399499	6.41E-06
