country	id	cl	X1	X2	X3	X4	X5	X6	village	village_name
ARMENIA	594740	2	1.69599584224848e-07	0.989966424961271	0.00317576842086789	1.6768226338112e-06	0.00670970185833329	0.0001462583373096	ARMENIA0	Chambarak
ARMENIA	594741	2	1.97806119743858e-05	0.739959953961191	0.000521291788498555	8.39356831541491e-07	0.245938192319552	0.0135599419619525	ARMENIA0	Chambarak
ARMENIA	594744	6	1.24758398758628e-05	0.0636479342317745	5.3183724093453e-06	8.66054381091169e-07	7.06224456638619e-05	0.936262783055895	ARMENIA5	Martumi
ARMENIA	594843	6	1.92034858350507e-05	0.474443806569211	1.10819075157521e-05	2.11898488849517e-06	0.0010337259227869	0.524490063129762	ARMENIA0	Chambarak
AZERBAIJAN	595072	6	0.00780714010422421	7.190326538833e-07	3.01570257314069e-05	1.04155273781594e-05	1.359432028597e-08	0.992151554715692	AZERBAIJAN1	Ismailly
AZERBAIJAN	595075	6	0.0155475343280919	0.000341709468638166	0.000267884425728545	5.56587996558113e-07	0.000158085923870726	0.983684229265674	AZERBAIJAN1	Ismailly
AZERBAIJAN	595076	1	0.886274116595165	0.00799250221377863	0.00396540597561722	2.8377449962731e-09	1.39382540762931e-06	0.101766578552286	AZERBAIJAN1	Ismailly
AZERBAIJAN	595079	1	0.994697236452164	0.0029163470551251	0.00184126479027164	1.0940486063507e-09	1.95215243880429e-05	0.0005256290840021	AZERBAIJAN1	Ismailly
AZERBAIJAN	595080	6	0.0242269081471406	0.0120236745257072	2.99569138755622e-05	1.21097947229529e-07	1.10289097806109e-06	0.963718236424351	AZERBAIJAN1	Ismailly
AZERBAIJAN	595081	6	5.27301260288032e-05	0.00168192929254584	0.102954309618775	1.8951275263924e-06	0.00806833425439146	0.887240801580732	AZERBAIJAN1	Ismailly
AZERBAIJAN	595083	1	0.972639128245653	5.81426568737055e-05	0.00489108220473202	5.050923513228e-10	1.15442165217321e-06	0.0224104919659971	AZERBAIJAN1	Ismailly
AZERBAIJAN	595085	6	0.000941292608254062	2.39541018529651e-05	0.000878154771217077	1.4271404126941e-09	1.5353847504434e-07	0.99815644355306	AZERBAIJAN1	Ismailly
AZERBAIJAN	595087	5	8.86556610635873e-05	0.130945210151839	0.0551687779945244	5.15578114349294e-05	0.786155178595149	0.027590619785989	AZERBAIJAN1	Ismailly
AZERBAIJAN	595088	6	0.135308049467377	7.14393390835413e-05	3.06901142879401e-05	5.9241976029e-11	2.586199432413e-08	0.864589795158015	AZERBAIJAN1	Ismailly
ARMENIA	595091	6	9.36014940382022e-05	0.00358266330169674	1.8322511980212e-06	2.38292063551308e-08	0.00165816626935795	0.994663712854503	ARMENIA0	Chambarak
ARMENIA	595092	2	1.31209886893278e-09	0.987757603111883	1.8569427141562e-05	4.29040813399994e-05	0.0121745210126599	6.4010548766e-06	ARMENIA0	Chambarak
