country	id	cl	X1	X2	X3	X4	X5	X6	X7	village	village_name
UZBEKISTAN	590597	3	1.487966099712e-06	3.1019839790667e-08	0.990705149653497	2.083974496953e-10	3.52125702267985e-05	6.7480837505631e-06	0.00925137049818811	UZBEKISTAN0	Karshi
UZBEKISTAN	591286	3	6.87928844548598e-05	7.96134644378115e-06	0.963322814188608	1.70132867421841e-07	6.57629875199177e-06	0.00085308566656422	0.0357405994823093	UZBEKISTAN1	Bukhara
UZBEKISTAN	591287	3	0.0123162102130917	1.79027921197011e-07	0.987676533007214	6.81526891494661e-09	1.41721024043746e-07	6.933814318233e-07	6.23583404831e-06	UZBEKISTAN1	Bukhara
UZBEKISTAN	591288	3	3.70222538561209e-06	3.30046314746e-09	0.999996169865339	3.56532468402e-12	2.22860359610348e-08	6.3532223984e-09	9.596598816e-08	UZBEKISTAN1	Bukhara
UZBEKISTAN	591289	2	0.000229206812226281	0.995165911086068	0.000510606180464607	3.45491398093363e-06	2.82220786069524e-05	0.0038300360773244	0.00023256285132902	UZBEKISTAN1	Bukhara
UZBEKISTAN	591290	3	4.50693825702923e-06	3.91725246656971e-06	0.999945736681417	9.373948445895e-11	3.00000414566956e-05	1.2860318562225e-06	1.455296080771e-05	UZBEKISTAN1	Bukhara
UZBEKISTAN	591291	3	8.61736875443943e-06	7.339528480313e-09	0.999263908332915	3.66829503594e-11	8.61372175387838e-08	1.36073234169e-08	0.00072736717757868	UZBEKISTAN1	Bukhara
UZBEKISTAN	591292	3	0.000297845175887605	1.99207612019768e-06	0.996969822245895	4.2189109035763e-10	8.41051331527346e-06	4.84407025982851e-05	0.00267348886429218	UZBEKISTAN1	Bukhara
UZBEKISTAN	591293	3	0.000713696381000765	4.24266038529109e-05	0.996882697202058	1.2259111717298e-07	0.000115134932961665	5.7353608041e-09	0.00224591655364859	UZBEKISTAN1	Bukhara
UZBEKISTAN	591295	3	0.000760250958096989	9.2681300026549e-08	0.999224668392722	8.43314979057e-12	3.54151678617087e-08	2.035480082725e-07	1.474899627154e-05	UZBEKISTAN1	Bukhara
UZBEKISTAN	591297	6	0.144348293690967	4.2599620812329e-08	0.00143287025894128	1.169282400955e-11	4.86086455753779e-08	0.853607497505115	0.00061124732501746	UZBEKISTAN1	Bukhara
UZBEKISTAN	591298	7	4.90697451920748e-09	0.000195049367403818	0.0126479064461019	9.29440669212177e-09	0.00300927316457996	1.609992970065e-07	0.984147595821236	UZBEKISTAN1	Bukhara
UZBEKISTAN	591299	6	0.0348367832217255	5.62109776145364e-07	0.00469904519174276	6.795820548492e-11	3.8839396043837e-07	0.960183019715318	0.00028020129951912	UZBEKISTAN1	Bukhara
UZBEKISTAN	591300	3	2.8839197235713e-05	1.319666522086e-08	0.998032475529978	2.30998309686e-12	1.31916113645089e-06	7.66678952151e-08	0.00193727624477956	UZBEKISTAN1	Bukhara
UZBEKISTAN	591303	5	6.52040508455714e-11	0.000482311840164705	0.000411507891232624	0.000110455242911344	0.99889106912971	1.9750934426154e-05	8.490489635059e-05	UZBEKISTAN1	Bukhara
UZBEKISTAN	591304	4	2.0905218754393e-09	1.20969863290677e-06	2.73083661035698e-07	0.999721931931943	0.000189355672847163	2.048934028013e-07	8.702262899113e-05	UZBEKISTAN1	Bukhara
UZBEKISTAN	591305	3	0.00167066667611937	0.000151021831793835	0.997225246373352	3.092777247943e-11	2.95775439510857e-05	9.78841681905e-08	0.00092338965968745	UZBEKISTAN1	Bukhara
UZBEKISTAN	591307	3	1.7398478952132e-05	2.1422077319619e-08	0.999981896821522	3.715151015069e-11	5.55786924008669e-07	5.62286452405e-08	7.122472754e-08	UZBEKISTAN1	Bukhara
